syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,pos,comp_struct,nomen,comp_len,Word,stress_class
gisch,ø,h,ch,sch,isch,gisch,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ern,erna,ernae,K,KC,KCC,KCCL,KCCLC,noacc,10,9,16,9,9,6,10,10,5,4,4,4,4,6,5,3,-1,light,light,heavy,light,light,light,light,light,c,o,c,o,o,o,o,c,KC,CL,CKCC,CL,CL,L,CL,CKC,,C,C,C,C,,C,C,C,,CC,,,,,C,K,L,K,L,L,L,L,K,2,3,5,3,2,1,2,5,1,0,2,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,2,2,2,2,1,VC,CVV,CVCC,CVV,CVV,VV,CVV,CVC,1,0,3,0,0,0,0,2,A,NA,F,2,ernaehrungsphysiologisch,sekunda
t1t,ø,t,et,aet,taet,itaet,C,LC,CLC,LCLC,CLCLC,ø,He,ø,H,He,Het,Hete,Heter,C,CL,CLC,CLCL,CLCLC,ø,7,7,10,7,10,6,12,8,3,3,5,3,3,6,6,2,0,light,light,light,light,light,light,light,light,o,o,o,c,o,c,o,c,CL,CL,CL,CK,CCL,K,CL,CLC,C,C,C,C,CC,,C,C,,,,,,,,C,L,L,L,K,L,K,L,L,2,2,2,2,2,1,2,3,0,0,0,1,0,1,0,1,1,1,1,1,2,0,1,1,2,2,2,1,2,1,2,2,CVV,CVV,CVV,CVC,CCVV,VC,CVV,CVVC,0,0,0,2,1,1,0,1,N,N,T,1,Heterosexualitaet,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,in,ø,i,in,ind,indi,indiv,K,KC,KCC,KCCL,KCCLC,ø,11,9,9,9,6,12,9,13,5,4,4,4,6,6,4,4,0,light,light,light,light,light,light,light,schwa,c,o,o,o,c,o,o,c,KC,CL,CL,CL,K,CL,CL,CKC,,C,C,C,,C,C,C,C,,,,,,,C,K,L,L,L,K,L,L,K,2,2,2,2,1,2,3,3,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,1,VC,CVV,CVV,CVV,VC,CVV,CVV,CVC,1,0,0,0,1,0,0,2,V,R,F,1,individualisieren,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,In,ø,I,In,Ind,Indi,Indiv,K,KC,KCC,KCCL,KCCLC,ø,11,9,9,9,6,12,9,15,5,4,4,4,6,6,4,5,0,light,light,light,light,light,light,light,light,c,o,o,o,c,o,o,c,KC,CL,CL,CL,K,CL,CL,CKC,,C,C,C,,C,C,C,C,,,,,,,C,K,L,L,L,K,L,L,K,2,2,2,2,1,2,3,4,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,1,VC,CVV,CVV,CVV,VC,CVV,CVV,CVC,1,0,0,0,1,0,0,2,N,V,T,1,Individualisierung,paenultima
nung,ø,g,ng,ung,nung,hnung,C,KC,CKC,CCKC,KCCKC,ø,In,ø,I,In,Inf,Infi,Infin,K,KC,KCC,KCCL,KCCLC,ø,11,9,11,7,9,17,11,14,5,4,5,3,4,5,3,4,0,light,light,light,light,light,light,light,light,c,o,o,o,o,c,c,c,KC,CL,CL,CL,CL,CLC,CKC,CKC,,C,C,C,C,C,C,C,C,,,,,C,C,C,K,L,L,L,L,L,K,K,2,2,2,2,2,3,4,4,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,VC,CVV,CVV,CVV,CVV,CVVC,CVC,CVC,1,0,0,0,0,1,2,2,N,AV,T,2,Infinitesimalrechnung,antepaenultima
mus,ø,s,us,mus,smus,ismus,C,KC,CKC,CCKC,KCCKC,noacc,In,ø,I,In,Int,Inte,Inter,K,KC,KCC,KCCK,KCCKC,ø,11,11,9,9,6,13,13,12,5,3,4,4,6,6,4,4,0,light,schwa,light,light,light,light,light,light,c,c,c,o,o,o,c,c,KC,CKC,CK,AL,L,CL,CKC,CKC,,C,C,A,,C,C,C,C,C,,,,,C,C,K,K,K,L,L,L,K,K,2,3,2,2,1,2,3,3,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,VC,CVC,CVC,CVV,VV,CVV,CVC,CVC,1,2,2,0,0,0,2,2,N,A,T,1,Internationalismus,paenultima
tel,ø,l,el,tel,ttel,ittel,C,KC,CKC,KCKC,CKCKC,ø,Kom,ø,K,Ko,Kom,Komm,Kommu,C,CK,CKC,CKCL,CKCLC,ø,7,11,11,7,9,10,11,11,3,5,5,3,4,3,5,3,0,light,light,light,light,light,heavy,light,schwa,c,o,o,c,o,c,c,c,CK,CL,CL,CK,AL,LCC,CK,CKC,C,C,C,C,A,,C,C,,,,,,CC,,C,K,L,L,K,L,L,K,K,3,2,2,2,2,3,3,3,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1,1,1,2,2,1,2,2,1,1,CVC,CVV,CVV,CVC,CVV,VVCC,CVC,CVC,2,0,0,2,0,1,2,2,N,NN,T,2,Kommunikationsmittel,antepaenultima
n1r,ø,r,er,aer,naer,onaer,C,LC,CLC,LCLC,LLCLC,ø,kon,ø,k,ko,kon,kont,konte,C,CK,CKC,CKCC,CKCCK,ø,10,11,10,7,12,9,6,13,3,3,5,3,6,4,6,4,-1,light,schwa,light,light,light,light,light,light,c,c,o,o,o,o,o,c,CKC,CKC,CL,CL,CL,CL,L,CLC,C,C,C,C,C,C,,C,C,C,,,,,,C,K,K,L,L,L,L,L,L,3,3,2,2,2,2,1,3,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,2,2,2,2,2,CVC,CVC,CVV,CVV,CVV,CVV,VV,CVVC,2,2,0,0,0,0,0,1,A,A,F,1,konterrevolutionaer,prima
tig,ø,g,ig,tig,htig,chtig,C,KC,CKC,CCKC,KCCKC,noacc,kran,ø,k,kr,kra,kran,krank,C,CC,CCK,CCKC,CCKCC,ø,14,10,11,9,7,16,14,10,3,3,3,4,3,4,3,3,0,light,schwa,light,light,schwa,heavy,light,light,c,c,c,c,o,c,c,c,CCKC,CKC,CKC,CK,CK,CKCC,ACKC,CKC,CC,C,C,C,C,C,AC,C,C,C,C,,,CC,C,C,K,K,K,K,K,K,K,K,4,3,3,2,3,5,6,3,1,1,1,1,0,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,CCVC,CVC,CVC,CVC,CV,CVCC,CCVC,CVC,3,2,2,2,1,3,3,2,A,NN,F,2,krankenversicherungspflichtig,prima
te,ø,e,te,rte,arte,karte,K,CK,CCK,KCCK,CKCCK,ø,Le,ø,L,Le,Leg,Legi,Legit,C,CL,CLC,CLCL,CLCLC,ø,10,9,9,9,9,10,11,7,5,4,4,4,4,3,3,3,-1,light,light,light,light,light,heavy,light,schwa,o,o,o,c,o,c,c,o,CL,CL,CL,CK,AL,LCC,CKC,CK,C,C,C,C,A,,C,C,,,,,,CC,C,,L,L,L,K,L,L,K,K,2,2,2,2,2,3,3,2,0,0,0,1,0,2,1,0,1,1,1,1,1,0,1,1,2,2,2,1,2,2,1,1,CVV,CVV,CVV,CVC,CVV,VVCC,CVC,CV,0,0,0,2,0,1,2,1,N,NN,T,2,Legitimationskarte,antepaenultima
ter,ø,r,er,ter,ater,eater,C,KC,CKC,LCKC,LLCKC,ø,Ma,ø,M,Ma,Mar,Mari,Mario,C,CK,CKC,CKCL,CKCLL,ø,9,12,6,9,10,7,10,11,4,6,6,4,3,3,10,3,0,light,light,light,light,schwa,light,light,schwa,c,o,o,c,c,o,o,c,CK,CL,L,CK,CKC,CL,L,CKC,C,C,,C,C,C,,C,,,,,C,,,C,K,L,L,K,K,L,L,K,2,2,1,3,3,3,1,3,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,2,2,1,1,2,2,1,CVC,CVV,VV,CVC,CVC,CVV,VV,CVC,2,0,0,2,2,0,0,2,N,NN,T,2,Marionettentheater,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ma,ø,M,Ma,Mat,Mate,Mater,C,CK,CKC,CKCL,CKCLC,ø,9,7,12,6,12,7,9,9,4,3,6,6,6,3,4,4,0,light,light,light,light,light,light,light,light,c,o,o,c,o,c,o,c,CK,CL,CL,K,CL,CK,AL,LC,C,C,C,,C,C,A,,,,,,,,,C,K,L,L,K,L,K,L,L,2,2,2,1,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,2,2,1,2,1,2,2,CVC,CVV,CVV,VC,CVV,CVC,CVV,VVC,2,0,0,1,0,2,0,0,N,N,T,1,Materialisation,ultima
mus,ø,s,us,mus,smus,ismus,C,KC,CKC,CCKC,KCCKC,noacc,Ne,ø,N,Ne,Neo,Neok,Neoko,C,CL,CLL,CLLC,CLLCL,ø,9,6,7,10,11,10,13,12,4,6,3,5,5,10,4,4,0,light,light,light,light,light,light,light,light,o,o,o,o,o,o,c,c,CL,L,CL,CL,CL,L,CKC,CKC,C,,C,C,C,,C,C,,,,,,,C,C,L,L,L,L,L,L,K,K,2,1,2,2,2,1,3,3,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,2,2,2,2,2,2,1,1,CVV,VV,CVV,CVV,CVV,VV,CVC,CVC,0,0,0,0,0,0,2,2,N,N,T,1,Neokolonialismus,paenultima
on,ø,n,on,ion,tion,ution,C,LC,LLC,ALLC,LALLC,ø,No,ø,N,No,Nov,Nove,Novem,C,CL,CLC,CLCK,CLCKC,ø,9,10,11,10,7,12,9,9,4,3,3,5,3,6,4,4,-1,light,light,schwa,light,light,light,light,light,o,c,c,o,o,o,o,c,CL,CKC,CKC,CL,CL,CL,AL,LC,C,C,C,C,C,C,A,,,C,C,,,,,C,L,K,K,L,L,L,L,L,2,3,3,2,2,2,2,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2,1,1,2,2,2,2,2,CVV,CVC,CVC,CVV,CVV,CVV,CVV,VVC,0,2,2,0,0,0,0,0,N,NN,T,2,Novemberrevolution,sekunda
on,ø,n,on,ion,tion,ution,C,LC,LLC,ALLC,LALLC,ø,Ok,ø,O,Ok,Okt,Okto,Oktob,K,KC,KCC,KCCL,KCCLC,ø,7,7,11,10,7,12,9,9,3,3,3,5,3,6,4,4,0,light,light,schwa,light,light,light,light,light,c,o,c,o,o,o,o,c,KC,CL,CKC,CL,CL,CL,AL,LC,,C,C,C,C,C,A,,C,,C,,,,,C,K,L,K,L,L,L,L,L,2,2,3,2,2,2,2,2,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,2,1,2,2,2,2,2,VC,CVV,CVC,CVV,CVV,CVV,CVV,VVC,1,0,2,0,0,0,0,0,N,NN,T,2,Oktoberrevolution,sekunda
ro,ø,o,ro,ero,uero,buero,L,CL,LCL,CLCL,CCLCL,ø,Or,ø,O,Or,Org,Orga,Organ,K,KC,KCC,KCCK,KCCKC,ø,10,7,11,7,9,10,9,10,5,3,5,3,4,3,4,5,0,light,light,light,light,light,heavy,light,light,c,c,o,c,o,c,o,o,KC,CK,CL,CK,AL,LCC,CL,CL,,C,C,C,A,,C,C,C,,,,,CC,,,K,K,L,K,L,L,L,L,2,2,2,2,2,3,2,2,1,1,0,1,0,2,0,0,0,1,1,1,1,0,1,1,1,1,2,1,2,2,2,2,VC,CVC,CVV,CVC,CVV,VVCC,CVV,CVV,1,2,0,2,0,1,0,0,N,NN,T,2,Organisationsbuero,antepaenultima
lent,ø,t,nt,ent,lent,alent,C,CC,KCC,CKCC,KCKCC,ø,Or,ø,O,Or,Org,Orga,Organ,K,KC,KCC,KCCK,KCCKC,ø,10,7,11,7,9,10,7,14,5,3,5,3,4,3,3,3,0,light,light,light,light,light,heavy,light,heavy,c,c,o,c,o,c,c,c,KC,CK,CL,CK,AL,LCC,CK,CKCC,,C,C,C,A,,C,C,C,,,,,CC,,CC,K,K,L,K,L,L,K,K,2,2,2,2,2,3,2,4,1,1,0,1,0,2,1,2,0,1,1,1,1,0,1,1,1,1,2,1,2,2,1,1,VC,CVC,CVV,CVC,CVV,VVCC,CVC,CVCC,1,2,0,2,0,1,2,3,N,NN,T,2,Organisationstalent,antepaenultima
ter,ø,r,er,ter,lter,ilter,C,KC,CKC,CCKC,KCCKC,ø,Po,ø,P,Po,Pol,Pola,Polar,C,CL,CLC,CLCK,CLCKC,ø,7,10,12,7,9,10,13,11,3,5,6,3,4,3,4,3,0,light,light,light,light,light,heavy,light,schwa,o,c,o,c,o,c,c,c,CL,CK,CL,CK,AL,LCC,CKC,CKC,C,C,C,C,A,,C,C,,,,,,CC,C,C,L,K,L,K,L,L,K,K,2,2,2,2,2,3,3,3,0,1,0,1,0,2,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,2,1,1,CVV,CVC,CVV,CVC,CVV,VVCC,CVC,CVC,0,2,0,2,0,1,2,2,N,NN,T,2,Polarisationsfilter,antepaenultima
ve,ø,e,ve,ive,tive,ative,K,CK,LCK,CLCK,KCLCK,ø,Pri,ø,P,Pr,Pri,Priv,Priva,C,CC,CCL,CCLC,CCLCL,ø,13,12,8,11,9,6,9,7,4,4,8,5,4,6,4,3,-1,light,light,light,light,light,light,light,schwa,o,c,o,o,o,c,o,o,CCL,CLC,L,CL,AL,K,CL,CK,CC,C,,C,A,,C,C,,C,,,,,,,L,L,L,L,L,K,L,K,3,3,1,2,2,1,2,2,0,1,0,0,0,1,0,0,2,1,0,1,1,0,1,1,2,2,2,2,2,1,2,1,CCVV,CVVC,VV,CVV,CVV,VC,CVV,CV,1,1,0,0,0,1,0,1,N,AN,T,2,Privatinitiative,sekunda
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,pro,ø,p,pr,pro,prof,profe,C,CC,CCL,CCLC,CCLCK,ø,11,7,9,6,9,12,9,13,3,3,4,6,4,6,4,4,0,light,light,light,light,light,light,light,schwa,o,c,o,o,c,o,o,c,CCL,CK,CL,L,CK,CL,CL,CKC,CC,C,C,,C,C,C,C,,,,,,,,C,L,K,L,L,K,L,L,K,3,3,2,1,2,2,3,3,0,1,0,0,1,0,0,1,2,1,1,0,1,1,1,1,2,1,2,2,1,2,2,1,CCVV,CVC,CVV,VV,CVC,CVV,CVV,CVC,1,2,0,0,2,0,0,2,V,N,F,1,professionalisieren,paenultima
fe,ø,e,fe,ufe,tufe,stufe,K,CK,LCK,CLCK,CCLCK,ø,Qua,ø,Q,Qu,Qua,Qual,Quali,C,CC,CCK,CCKC,CCKCL,ø,8,12,9,7,9,10,10,7,2,6,4,3,4,3,3,3,-1,light,light,light,light,light,heavy,light,schwa,c,o,o,c,o,c,o,o,CCK,CL,CL,CK,AL,LCC,CCL,CK,CC,C,C,C,A,,CC,C,,,,,,CC,,,K,L,L,K,L,L,L,K,3,2,2,2,2,3,3,2,1,0,0,1,0,2,0,0,2,1,1,1,1,0,2,1,1,2,2,1,2,2,2,1,CCVC,CVV,CVV,CVC,CVV,VVCC,CCVV,CV,3,0,0,2,0,1,1,1,N,NN,T,2,Qualifikationsstufe,antepaenultima
on,ø,n,on,ion,tion,ition,C,LC,LLC,ALLC,LALLC,ø,Re,ø,R,Re,Reg,Regi,Regie,C,CL,CLC,CLCL,CLCLC,ø,10,9,16,7,6,12,9,9,5,4,4,3,6,6,4,4,-1,light,light,heavy,light,light,light,light,light,o,o,c,o,c,o,o,c,CL,CL,CKCC,CL,K,CL,AL,LC,C,C,C,C,,C,A,,,,CC,,,,,C,L,L,K,L,K,L,L,L,2,3,5,2,1,2,2,2,0,0,2,0,1,0,0,1,1,1,1,1,0,1,1,0,2,2,1,2,1,2,2,2,CVV,CVV,CVCC,CVV,VC,CVV,CVV,VVC,0,0,3,0,1,0,0,0,N,NN,T,2,Regierungskoalition,sekunda
