stress_class,all_NN_classification,all_JRip_classification,all_J48_classification,numeric_NN_classification,numeric_JRip_classification,numeric__J48_classification,sparse_NN_classification,sparse_JRip_classification,sparse_J48_classification,suffixl_NN_classification,suffix_JRip_classification,suffixl_J48_classification,praefix_NN_classification,praefix_JRip_classification,praefix_J48_classification,affix_NN_classification,affix_JRip_classification,affix_J48_classification,sonority_NN_classification,sonority_JRip_classification,sonority_48_classification,weight_NN_classification,weight_JRip_classification,weight_J48_classification,phoncat_NN_classification,phoncat_JRip_classification,phoncat_J48_classification,phon_NN_classification,phon_JRip_classification,phon_J48_classification,sylstruct_NN_classification,sylstruct_JRip_classification,sylstruct_J48_classification,meta_NN_classification,meta_JRip_classification,meta_J48_classification
ultima,ultima,prima,prima,ultima,prima,prima,ultima,prima,prima,prima,prima,prima,ultima,prima,prima,ultima,prima,prima,ultima,prima,prima,antepaenultima,prima,prima,ultima,prima,prima,ultima,prima,prima,ultima,prima,prima,paenultima,prima,prima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
paenultima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,prima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima
antepaenultima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,prima,prima,prima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
paenultima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,prima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima
paenultima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,sekunda,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima,paenultima,prima,prima
antepaenultima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,prima,prima,prima
antepaenultima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,prima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima,antepaenultima,prima,prima
sekunda,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,prima,prima,prima,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,prima,prima,prima
