A	?\"a:
AG	?a:.g\"e:
AIDS	?\"EIts
Aachen	?\"a:.x@n
Aal	?\"a:l
Aale	?\"a:.l@
Aalen	?\"a:.l@n
Aales	?\"a:.l@s
Aals	?\"a:ls
Aalst	?\"a:lst
Aar	?\"a:6
Aarau	?\"a:.raU
Aare	?\"a:.r@
Aaren	?\"a:.r@n
Aares	?\"a:.r@s
Aargau	?\"a:6.gaU
Aars	?\"a:6s
Aas	?\"a:s
Aase	?\"a:.z@
Aasen	?\"a:.z@n
Aases	?\"a:.z@s
Abacus	?\"a:.ba.kUs
Abaka	?a.b\"a:.ka:
Abakan	?a.ba.k\"a:n
Abakus	?\"a:.ba.kUs
Abandon	?a.ban.d\"O~
Abandons	?a.ban.d\"O~s
Abarten	?\"ap.?a:6.t@n
Abartung	?\"ap.?a:6.tUN
Abartungen	?\"ap.?a:6.tU.N@n
Abasie	?a.ba.z\"i:
Abasien	?a.ba.z\"i:.@n
Abaziskus	?a.ba.ts\"Is.kUs
Abazissus	?a.ba.ts\"I.sUs
Abbadona	?a.ba.d\"o:.na:
Abbas	?a.b\"a:s
Abbaside	?a.ba.z\"i:.d@
Abbasiden	?a.ba.z\"i:.d@n
Abbate	?a.b\"a:.t@
Abbaten	?a.b\"a:.t@n
Abbestellung	?\"ap.b@.St%E.lUN
Abbestellungen	?\"ap.b@.St%E.lU.N@n
Abbreviation	?a.bre:v.ja.tsj\"o:n
Abbreviationen	?a.bre:v.ja.tsj\"o:.n@n
Abbreviatur	?a.bre:v.ja.t\"u:6
Abbreviaturen	?a.bre:v.ja.t\"u:.r@n
Abbrändler	?\"ap.brEn.dl6
Abbröckelung	?\"ap.br9.k@.lUN
Abbrüche	?\"ap.brY.C@
Abbud	?a.b\"u:t
Abbé	?a.b\"e:
Abc	?a:.be:.ts\"e:
Abdachung	?\"ap.da.xUN
Abdachungen	?\"ap.da.xU.N@n
Abdeckerei	?ap.dE.k@.r\"aI
Abdeckereien	?ap.dE.k@.r\"aI.@n
Abdera	?ap.d\"e:.ra:
Abderit	?ap.de:.r\"i:t
Abderiten	?ap.de:.r\"i:.t@n
Abdikation	?ap.di:.ka.tsj\"o:n
Abdikationen	?ap.di:.ka.tsj\"o:.n@n
Abdomen	?ap.d\"o:.m@n
Abdomens	?ap.d\"o:.m@ns
Abdomina	?ap.d\"o:.mi:.na
Abduktion	?ap.dUk.tsj\"o:n
Abduktionen	?ap.dUk.tsj\"o:.n@n
Abduktor	?ap.d\"Uk.to:6
Abduktoren	?ap.dUk.t\"o:.r@n
Abduktors	?ap.d\"Uk.to:6s
Abdul	?\"ap.du:l
Abdullah	?\"ap.du:.la:
Abecedarien	?a.be:.tse:.d\"a:.ri:.@n
Abecedarium	?a.be:.tse:.d\"a:.ri:.Um
Abend	?\"a:.b@nt
Abenteuer	?\"a:.b@n.tOY.6
Abenteuerin	?\"a:.b@n.tOY.@.rIn
Abenteuerinnen	?\"a:.b@n.tOY.@.rI.n@n
Abenteuern	?\"a:.b@n.tOY.6n
Abenteuers	?\"a:.b@n.tOY.6s
Abenteurer	?\"a:.b@n.tOY.r6
Abenteurerin	?\"a:.b@n.tOY.r@.rIn
Abenteurerinnen	?\"a:.b@n.tOY.r@.rI.n@n
Abenteurern	?\"a:.b@n.tOY.r6n
Abenteurers	?\"a:.b@n.tOY.r6s
Aberdeen	?\"E.b@.di:n
Aberkennung	?\"ap.?E6.k%E.nUN
Aberkennungen	?\"ap.?E6.k%E.nU.N@n
Aberration	?ap.?E.ra.tsj\"o:n
Aberrationen	?ap.?E.ra.tsj\"o:.n@n
Abert	?\"a:.bE6t
Abessinien	?a:.bE.s\"i:n.j@n
Abessinier	?a.bE.s\"i:n.j6
Abfahrsignal	?\"a.pfa:6.zI.gn%a:l
Abfalleimer	?\"a.pfal.?%aI.m6
Abfalleimern	?\"a.pfal.?%aI.m6n
