stress_class,classification_all_J48,error_all_J48,classification_all_JRip,error_all_JRip,classification_all_NN,error_all_NN,classification_phon_J48,error_phon_J48,classification_phon_JRip,error_phon_JRip,classification_phon_NN,error_phon_NN,classification_affix_J48,error_affix_J48,classification_affix_JRip,error_affix_JRip,classification_affix_NN,error_affix_NN,classification_sylstruct_J48,error_sylstruct_J48,classification_sylstruct_JRip,error_sylstruct_JRip,classification_sylstruct_NN,error_sylstruct_NN
undef,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no
multa,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes
prima,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no
undef,undef,no,undef,no,undef,no,antepaenultima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no
prima,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no
prima,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no
antepaenultima,undef,yes,undef,yes,undef,yes,antepaenultima,no,undef,yes,antepaenultima,no,undef,yes,undef,yes,antepaenultima,no,undef,yes,undef,yes,antepaenultima,no
prima,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,antepaenultima,yes,undef,yes,undef,yes,undef,yes
undef,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no
prima,undef,yes,undef,yes,prima,no,antepaenultima,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no,undef,yes,undef,yes,prima,no
ultima,undef,yes,undef,yes,paenultima,yes,antepaenultima,yes,undef,yes,undef,yes,undef,yes,undef,yes,ultima,no,undef,yes,undef,yes,undef,yes
paenultima,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,paenultima,no
paenultima,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no
paenultima,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no
sekunda,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,paenultima,yes,undef,yes,undef,yes,paenultima,yes
undef,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no
undef,undef,no,undef,no,undef,no,antepaenultima,yes,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no
ultima,undef,yes,undef,yes,ultima,no,undef,yes,undef,yes,ultima,no,undef,yes,undef,yes,ultima,no,undef,yes,undef,yes,ultima,no
paenultima,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,undef,yes
paenultima,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes,undef,yes
antepaenultima,undef,yes,undef,yes,antepaenultima,no,antepaenultima,no,undef,yes,antepaenultima,no,undef,yes,undef,yes,antepaenultima,no,undef,yes,undef,yes,antepaenultima,no
paenultima,undef,yes,undef,yes,paenultima,no,antepaenultima,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no,undef,yes,undef,yes,paenultima,no
undef,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no
undef,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,prima,yes,undef,no,undef,no,undef,no
undef,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no,undef,no
