stress_class,classification_all_J48,error_all_J48,classification_all_JRip,error_all_JRip,classification_all_NN,error_all_NN,classification_phon_J48,error_phon_J48,classification_phon_JRip,error_phon_JRip,classification_phon_NN,error_phon_NN,classification_affix_J48,error_affix_J48,classification_affix_JRip,error_affix_JRip,classification_affix_NN,error_affix_NN,classification_sylstruct_J48,error_sylstruct_J48,classification_sylstruct_JRip,error_sylstruct_JRip,classification_sylstruct_NN,error_sylstruct_NN
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,prima,yes,prima,yes,ultima,no,ultima,no,ultima,no,ultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,antepaenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
prima,ultima,yes,prima,no,ultima,yes,prima,no,prima,no,antepaenultima,yes,antepaenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
prima,paenultima,yes,paenultima,yes,paenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,ultima,yes,prima,no,ultima,yes,prima,no,prima,no,prima,no,antepaenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
ultima,ultima,no,prima,yes,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,paenultima,yes,paenultima,yes,prima,no
prima,antepaenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
ultima,ultima,no,prima,yes,ultima,no,prima,yes,prima,yes,ultima,no,prima,yes,prima,yes,ultima,no,ultima,no,prima,yes,antepaenultima,yes
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,prima,yes,prima,yes,paenultima,no,paenultima,no,paenultima,no
prima,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
prima,paenultima,yes,paenultima,yes,paenultima,yes,prima,no,sekunda,yes,sekunda,yes,sekunda,yes,prima,no,prima,no,sekunda,yes,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
paenultima,ultima,yes,prima,yes,ultima,yes,prima,yes,prima,yes,paenultima,no,ultima,yes,prima,yes,paenultima,no,prima,yes,prima,yes,ultima,yes
prima,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,paenultima,yes,prima,no,prima,no,paenultima,yes,paenultima,yes,paenultima,yes
prima,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,paenultima,yes,prima,no,prima,no,paenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,prima,no,prima,no,prima,no
prima,prima,no,prima,no,prima,no,sekunda,yes,prima,no,prima,no,paenultima,yes,prima,no,prima,no,prima,no,prima,no,prima,no
ultima,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no,ultima,no
paenultima,prima,yes,prima,yes,prima,yes,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
paenultima,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no,paenultima,no
